Title,Info,Rating,Rating People,Comment
本杰明·巴顿奇事,"导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        


9.0

1065887人评价


在时间之河里感受溺水之苦。",9.0,1065887人评价,在时间之河里感受溺水之苦。
美丽心灵,"导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        


9.1

829164人评价",9.1,829164人评价,N/A
穿条纹睡衣的男孩,"导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008 / 英国 美国 / 剧情 战争
                        


9.2

619425人评价


尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。",9.2,619425人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
情书,"导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情
                        


8.9

1248532人评价",8.9,1248532人评价,N/A
窃听风暴,"导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑
                        


9.2

612773人评价


别样人生。",9.2,612773人评价,别样人生。
两杆大烟枪,"导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...
                            1998 / 英国 / 剧情 喜剧 犯罪
                        


9.1

651070人评价",9.1,651070人评价,N/A
哈利·波特与死亡圣器(下),"导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
                            2011 / 美国 英国 / 奇幻 冒险
                        


9.0

931224人评价


10年的完美句点。",9.0,931224人评价,10年的完美句点。
音乐之声,"导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...
                            1965 / 美国 / 剧情 传记 爱情 歌舞
                        


9.1

658753人评价",9.1,658753人评价,N/A
西西里的美丽传说,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色
                        


8.9

1058983人评价",8.9,1058983人评价,N/A
阿凡达,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 / 动作 科幻 冒险
                        


8.8

1526192人评价


绝对意义上的美轮美奂。",8.8,1526192人评价,绝对意义上的美轮美奂。
功夫,"导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
                            2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻
                        


8.9

1273235人评价


警恶惩奸，维护世界和平这个任务就交给你了，好吗？",8.9,1273235人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
看不见的客人,"导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚
                        


8.8

1389614人评价


你以为你以为的就是你以为的。",8.8,1389614人评价,你以为你以为的就是你以为的。
哈利·波特与阿兹卡班的囚徒,"导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...
                            2004 / 英国 美国 / 奇幻 冒险
                        


9.0

848029人评价


不一样的导演，不一样的哈利·波特。",9.0,848029人评价,不一样的导演，不一样的哈利·波特。
拯救大兵瑞恩,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 战争
                        


9.1

700078人评价",9.1,700078人评价,N/A
小鞋子,"导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
                            1997 / 伊朗 / 剧情 儿童 家庭
                        


9.2

447082人评价",9.2,447082人评价,N/A
沉默的羔羊,"导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚
                        


8.9

977525人评价",8.9,977525人评价,N/A
飞越疯人院,"导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情
                        


9.1

585822人评价",9.1,585822人评价,N/A
布达佩斯大饭店,"导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险
                        


8.9

1041236人评价


小清新的故事里注入了大历史的情怀。",8.9,1041236人评价,小清新的故事里注入了大历史的情怀。
蝴蝶效应,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        


8.9

1026298人评价


人的命运被自己瞬间的抉择改变。",8.9,1026298人评价,人的命运被自己瞬间的抉择改变。
禁闭岛,"导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚
                        


8.9

1070902人评价


昔日翩翩少年，今日大腹便便。",8.9,1070902人评价,昔日翩翩少年，今日大腹便便。
致命魔术,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 英国 美国 / 剧情 悬疑 惊悚
                        


8.9

932820人评价


孪生蝙蝠侠大战克隆金刚狼。",8.9,932820人评价,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手,"导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情
                        


9.0

787318人评价",9.0,787318人评价,N/A
低俗小说,"导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪
                        


8.9

920202人评价",8.9,920202人评价,N/A
超脱,"导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
                            2011 / 美国 / 剧情
                        


9.0

689188人评价


穷尽一生，我们要学会的，不过是彼此拥抱。",9.0,689188人评价,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与密室,"导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...
                            2002 / 英国 美国 / 奇幻 冒险
                        


8.9

873676人评价",8.9,873676人评价,N/A
摩登时代,"导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 剧情 喜剧 爱情
                        


9.3

332243人评价",9.3,332243人评价,N/A
喜剧之王,"导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
                            1999 / 中国香港 / 喜剧 剧情 爱情
                        


8.8

1053525人评价",8.8,1053525人评价,N/A
致命ID,"导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...
                            2003 / 美国 / 剧情 悬疑 惊悚
                        


8.9

909477人评价",8.9,909477人评价,N/A
杀人回忆,"导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
                        


8.9

799971人评价",8.9,799971人评价,N/A
春光乍泄,"导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        


9.0

687080人评价",9.0,687080人评价,N/A
海豚湾,"导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...
                            2009 / 美国 / 纪录片
                        


9.3

374946人评价


海豚的微笑，是世界上最高明的伪装。",9.3,374946人评价,海豚的微笑，是世界上最高明的伪装。
一一,"导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        


9.1

463994人评价",9.1,463994人评价,N/A
美国往事,"导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984 / 美国 意大利 / 犯罪 剧情
                        


9.1

453608人评价",9.1,453608人评价,N/A
加勒比海盗,"导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
                            2003 / 美国 / 动作 冒险 奇幻
                        


8.8

933984人评价",8.8,933984人评价,N/A
红辣椒,"导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...
                            2006 / 日本 / 动画 悬疑 科幻 惊悚
                        


9.0

537699人评价


梦的勾结。",9.0,537699人评价,梦的勾结。
七宗罪,"导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        


8.8

1019324人评价",8.8,1019324人评价,N/A
唐伯虎点秋香,"导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
                            1993 / 中国香港 / 喜剧 爱情 古装
                        


8.7

1180462人评价",8.7,1180462人评价,N/A
狩猎,"导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012 / 丹麦 瑞典 / 剧情
                        


9.1

445529人评价


人言可畏。",9.1,445529人评价,人言可畏。
